filter,SurrogateKey,TenantID,pkBookingID,fkUserID,fkLocationID,dateAdded,trackDate,fkHostID,noShow,BookingSource,deleteBooking,RealStartDateTimeUTC,RealEndDateTimeUTC,bookingRealStartTime,bookingRealEndTime,cleanDownPeriod,cleanDownUnit,PipelineExecutionDate
166,4702,condeco777,166,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
167,4762,condeco777,167,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
168,4822,condeco777,168,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
169,4882,condeco777,169,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
170,4942,condeco777,170,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
171,5002,condeco777,171,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
172,5062,condeco777,172,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
173,5122,condeco777,173,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
174,5182,condeco777,174,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
175,5242,condeco777,175,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
176,5302,condeco777,176,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
177,5362,condeco777,177,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
178,5422,condeco777,178,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
179,5482,condeco777,179,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
180,5542,condeco777,180,32,8,2023-04-13 18:19:06.683000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
181,5602,condeco777,181,32,8,2023-04-13 18:19:33.223000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
182,5662,condeco777,182,32,8,2023-04-13 18:19:47.390000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
183,5722,condeco777,183,32,8,2023-04-13 18:19:59.993000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
184,5782,condeco777,184,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
185,5842,condeco777,185,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
186,5902,condeco777,186,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
187,5962,condeco777,187,31,10,2023-04-13 20:20:07,2023-06-05 14:35:11,None,None,None,0,2023-06-05 04:35:11,None,Jun  5 2023  2:35PM,None,0,0,2024-02-06
188,6022,condeco777,188,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
189,6082,condeco777,189,31,10,2023-04-13 20:20:07,2023-06-19 14:24:22,None,None,None,0,2023-06-19 04:24:22,None,Jun 19 2023  2:24PM,None,0,0,2024-02-06
190,6142,condeco777,190,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
191,6202,condeco777,191,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
192,6262,condeco777,192,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
193,6322,condeco777,193,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
194,6382,condeco777,194,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
195,6442,condeco777,195,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
196,6502,condeco777,196,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
197,6562,condeco777,197,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
198,6622,condeco777,198,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
199,6682,condeco777,199,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
200,6742,condeco777,200,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
201,6802,condeco777,201,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
202,6862,condeco777,202,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
203,6922,condeco777,203,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
204,6982,condeco777,204,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
205,7042,condeco777,205,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
206,7102,condeco777,206,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
207,7162,condeco777,207,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
208,7222,condeco777,208,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
209,7282,condeco777,209,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
210,7342,condeco777,210,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
211,7402,condeco777,211,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
212,7462,condeco777,212,31,10,2023-04-13 20:20:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
217,7522,condeco777,217,31,11,2023-04-13 15:58:58.177000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
218,7582,condeco777,218,31,11,2023-04-13 15:59:21.490000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
219,7642,condeco777,219,32,11,2023-04-13 16:00:05.053000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
220,7702,condeco777,220,32,11,2023-04-13 16:00:38.900000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
221,7762,condeco777,221,31,3,2023-04-13 11:34:53.417000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
222,7822,condeco777,222,32,3,2023-04-13 11:36:35.497000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
223,7882,condeco777,223,31,3,2023-04-13 11:49:24.777000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
224,7942,condeco777,224,32,3,2023-04-13 11:49:35.143000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
225,8002,condeco777,225,31,11,2023-04-14 10:13:48.537000,None,None,None,1,0,None,None,None,None,0,0,2024-02-06
